Month,TH_PrimeRate,TH_TBond10Y,US_PrimeRate,US_TBond10Y
01/1983,16.00,,11.16,10.46
02/1983,16.00,,10.98,10.72
03/1983,16.00,,10.50,10.51
04/1983,15.00,,10.50,10.40
05/1983,14.50,,10.50,10.38
06/1983,14.50,,10.50,10.85
07/1983,14.50,,10.50,11.38
08/1983,14.50,,10.89,11.85
09/1983,14.50,,11.00,11.65
10/1983,14.50,,11.00,11.54
11/1983,14.50,,11.00,11.69
12/1983,16.00,,11.00,11.83
01/1984,16.75,,11.00,11.67
02/1984,16.75,,11.00,11.84
03/1984,17.00,,11.21,12.32
04/1984,17.00,,11.93,12.63
05/1984,17.00,,12.39,13.41
06/1984,17.00,,12.60,13.56
07/1984,17.00,,13.00,13.36
08/1984,17.00,,13.00,12.72
09/1984,17.00,,12.97,12.52
10/1984,17.00,,12.58,12.16
11/1984,16.75,,11.77,11.57
12/1984,16.50,,11.06,11.50
01/1985,16.50,,10.61,11.38
02/1985,16.50,,10.50,11.51
03/1985,16.50,,10.50,11.86
04/1985,16.50,,10.50,11.43
05/1985,16.50,,10.31,10.85
06/1985,16.50,,9.78,10.16
07/1985,15.50,,9.50,10.31
08/1985,15.50,,9.50,10.33
09/1985,15.50,,9.50,10.37
10/1985,15.50,,9.50,10.24
11/1985,15.50,,9.50,9.78
12/1985,15.50,,9.50,9.26
01/1986,15.50,,9.50,9.19
02/1986,15.50,,9.50,8.70
03/1986,14.00,,9.10,7.78
04/1986,14.00,,8.83,7.30
05/1986,14.00,,8.50,7.71
06/1986,14.00,,8.50,7.80
07/1986,12.75,,8.16,7.30
08/1986,12.75,,7.90,7.17
09/1986,12.00,,7.50,7.45
10/1986,12.00,,7.50,7.43
11/1986,12.00,,7.50,7.25
12/1986,12.00,,7.50,7.11
01/1987,12.00,,7.50,7.08
02/1987,11.50,,7.50,7.25
03/1987,11.50,,7.50,7.25
04/1987,11.50,,7.75,8.02
05/1987,11.50,,8.14,8.61
06/1987,11.50,,8.25,8.40
07/1987,11.50,,8.25,8.45
08/1987,11.50,,8.25,8.76
09/1987,11.50,,8.70,9.42
10/1987,11.50,,9.07,9.52
11/1987,11.50,,8.78,8.86
12/1987,11.50,,8.75,8.99
