date,ptt,set
2/1/2002,-1.301,6.773
3/1/2002,-0.788,-1.446
4/1/2002,-11.028,-2.619
5/1/2002,4.405,7.524
6/1/2002,1.246,-6.613
7/1/2002,-3.984,-5.239
8/1/2002,2.466,-5.792
9/1/2002,1.757,-10.312
10/1/2002,-4.592,5.525
11/1/2002,-1.439,0.407
12/1/2002,2.096,-3.995
1/1/2003,-0.836,2.125
2/1/2003,-0.699,-3.827
3/1/2003,0.223,-0.59
4/1/2003,-0.161,1.158
5/1/2003,3.688,5.973
6/1/2003,8.415,11.981
7/1/2003,0.746,3.544
8/1/2003,1.024,9.391
9/1/2003,4.516,6.335
10/1/2003,4.775,8.844
11/1/2003,3.996,-0.146
12/1/2003,22.789,16.843
1/1/2004,-7.295,-10.957
2/1/2004,-0.749,1.439
3/1/2004,-7.08,-11.139
4/1/2004,0.762,-0.929
5/1/2004,2.35,-2.181
6/1/2004,-2.034,-0.052
7/1/2004,-1.343,-2.609
8/1/2004,-1.98,-3.04
9/1/2004,3.86,1.844
10/1/2004,-1.144,-3.994
11/1/2004,-1.846,2.858
12/1/2004,-0.404,0.296
1/1/2005,0.897,3.157
2/1/2005,5.134,3.664
3/1/2005,-6.8,-10.356
4/1/2005,-0.553,-5.474
5/1/2005,-2.936,-0.973
6/1/2005,2.169,-1.046
7/1/2005,0.123,-2.555
8/1/2005,0.035,0.72
9/1/2005,-2.965,0.962
10/1/2005,-7.517,-8.799
11/1/2005,-4.197,-5.602
12/1/2005,-1.495,3.199
1/1/2006,2.609,2.817
2/1/2006,-6.068,-6.366
3/1/2006,-6.881,-5.562
4/1/2006,-0.262,0.128
5/1/2006,-7.437,-12.631
6/1/2006,-7.408,-9.332
7/1/2006,-3.402,-2.949
8/1/2006,-4.86,-4.945
9/1/2006,-8.356,-5.607
10/1/2006,-4.14,0.234
11/1/2006,-3.313,-2.578
12/1/2006,-8.801,-13.202
1/1/2007,-7.167,-8.699
2/1/2007,-2.789,-1.241
3/1/2007,-4.32,-4.826
4/1/2007,-1.354,-0.082
5/1/2007,2.861,1.945
