date,SET,StTimes,KLSE
1/2/1998,4.264711374,-3.689070616,1.941945713
1/9/1998,-6.375712232,-24.20610469,-15.14036812
1/16/1998,9.107124593,6.141556704,9.384820477
1/23/1998,9.900370471,1.433234789,3.386636392
1/30/1998,15.79574979,0.567434342,1.939639562
2/6/1998,7.907454582,15.5472723,24.57856612
2/13/1998,-6.954875032,-3.667870234,-6.041350415
2/20/1998,4.279376772,1.4239893,6.023496338
2/27/1998,1.25495577,3.530095907,2.348386076
3/6/1998,-3.927218868,-5.27586343,-7.665412248
3/13/1998,1.207084919,2.568862487,2.54568562
3/20/1998,-2.858210917,4.41726484,3.207166638
3/27/1998,-6.169447855,-0.69477889,-0.496278934
4/3/1998,-5.893402231,-7.668272583,-8.776880223
4/10/1998,0.713091685,1.977760989,0.994320012
4/17/1998,-1.61337556,-4.647765849,-6.817189779
4/24/1998,-3.288170461,-2.357903179,1.001677824
5/1/1998,-3.02560956,0.922964767,-1.449576561
5/8/1998,-6.441397273,-4.6962522,-7.618813991
5/15/1998,-4.496358359,-4.758727167,-2.301958826
5/22/1998,-3.753629224,0.002435233,1.814608214
5/29/1998,-8.878606388,-5.370020428,-6.993624326
6/5/1998,-2.308452023,-5.784587852,-6.364712307
6/12/1998,-13.00173328,-6.401713365,-6.689485747
6/19/1998,1.756329629,18.4830734,-1.012796163
6/26/1998,-7.044601297,-19.69886722,-4.805584733
7/3/1998,3.252439934,3.050690095,6.116431109
7/10/1998,0.189781079,-2.764149942,-10.01723334
7/17/1998,7.384749715,2.620607655,3.819992334
7/24/1998,-6.955423969,-2.044152998,-6.23327561
7/31/1998,-3.217040003,-1.464163592,-3.837021451
8/7/1998,-7.462723389,-2.488943774,-10.07764774
8/14/1998,-1.596255084,-7.036753941,-10.43385899
8/21/1998,-1.948086641,-1.598198804,-1.202394708
8/28/1998,-8.774220423,-2.548412947,-6.749295215
9/4/1998,-5.417130609,-9.498942155,18.21784898
9/11/1998,2.566746466,5.809030032,1.390789799
9/18/1998,4.211875562,6.746879863,6.505056
9/25/1998,11.51702546,1.217442323,-1.545055525
