Date,THBUSD
04/01/2000,36.96
05/01/2000,37.20
06/01/2000,37.17
07/01/2000,37.42
10/01/2000,37.02
11/01/2000,37.28
12/01/2000,37.59
13/01/2000,37.31
14/01/2000,37.45
17/01/2000,37.29
18/01/2000,37.42
19/01/2000,37.32
20/01/2000,37.26
21/01/2000,37.17
24/01/2000,37.24
25/01/2000,37.17
26/01/2000,37.24
27/01/2000,37.42
28/01/2000,37.33
31/01/2000,37.49
01/02/2000,37.48
02/02/2000,37.47
03/02/2000,37.52
04/02/2000,37.50
07/02/2000,37.45
08/02/2000,37.62
09/02/2000,37.53
10/02/2000,37.38
11/02/2000,37.43
14/02/2000,37.37
15/02/2000,37.45
16/02/2000,37.52
17/02/2000,37.59
18/02/2000,37.80
22/02/2000,38.17
23/02/2000,37.97
24/02/2000,38.08
25/02/2000,38.05
28/02/2000,37.71
29/02/2000,37.95
01/03/2000,37.95
02/03/2000,37.97
03/03/2000,37.92
06/03/2000,37.95
07/03/2000,38.00
08/03/2000,37.96
09/03/2000,37.93
10/03/2000,37.83
13/03/2000,37.78
14/03/2000,37.84
15/03/2000,37.82
16/03/2000,37.96
17/03/2000,37.85
20/03/2000,37.92
21/03/2000,37.88
22/03/2000,37.77
23/03/2000,37.75
24/03/2000,37.70
27/03/2000,37.75
28/03/2000,37.73
29/03/2000,37.74
30/03/2000,37.82
31/03/2000,37.81
03/04/2000,37.78
04/04/2000,37.75
05/04/2000,37.83
07/04/2000,37.94
10/04/2000,38.00
11/04/2000,37.96
12/04/2000,38.03
17/04/2000,37.92
18/04/2000,37.86
19/04/2000,37.87
20/04/2000,37.90
21/04/2000,37.88
24/04/2000,37.89
25/04/2000,37.96
26/04/2000,38.04
27/04/2000,38.06
28/04/2000,38.02
02/05/2000,38.17
03/05/2000,38.36
04/05/2000,38.34
08/05/2000,38.39
09/05/2000,38.40
10/05/2000,38.71
11/05/2000,38.78
12/05/2000,38.91
15/05/2000,38.98
16/05/2000,39.25
18/05/2000,39.22
19/05/2000,39.16
22/05/2000,38.90
23/05/2000,39.13
24/05/2000,39.27
25/05/2000,39.24
26/05/2000,39.03
29/05/2000,39.08
30/05/2000,39.26
31/05/2000,39.11
01/06/2000,39.16
02/06/2000,38.98
05/06/2000,38.85
06/06/2000,38.74
07/06/2000,38.86
08/06/2000,38.92
09/06/2000,39.02
12/06/2000,39.06
13/06/2000,38.94
14/06/2000,38.89
15/06/2000,38.95
16/06/2000,39.04
19/06/2000,39.13
20/06/2000,39.14
21/06/2000,39.04
22/06/2000,39.13
23/06/2000,39.13
26/06/2000,39.05
27/06/2000,39.07
28/06/2000,39.13
29/06/2000,39.11
30/06/2000,39.12
03/07/2000,39.21
04/07/2000,39.31
05/07/2000,39.35
06/07/2000,39.53
07/07/2000,39.57
10/07/2000,39.69
11/07/2000,39.89
12/07/2000,40.08
13/07/2000,39.95
14/07/2000,39.98
18/07/2000,40.29
19/07/2000,40.08
20/07/2000,40.12
21/07/2000,40.19
24/07/2000,40.53
25/07/2000,40.75
26/07/2000,41.14
27/07/2000,41.01
28/07/2000,41.06
31/07/2000,41.45
01/08/2000,41.20
02/08/2000,40.97
03/08/2000,40.79
04/08/2000,40.63
07/08/2000,40.89
08/08/2000,41.06
09/08/2000,40.94
10/08/2000,40.69
11/08/2000,40.72
15/08/2000,40.68
16/08/2000,40.77
17/08/2000,40.64
18/08/2000,41.02
21/08/2000,40.86
22/08/2000,40.73
23/08/2000,40.57
24/08/2000,40.87
25/08/2000,40.89
28/08/2000,40.71
29/08/2000,40.80
30/08/2000,40.91
31/08/2000,40.88
01/09/2000,40.82
04/09/2000,40.99
05/09/2000,41.22
06/09/2000,41.18
07/09/2000,41.36
08/09/2000,41.39
11/09/2000,41.42
12/09/2000,41.44
13/09/2000,41.57
14/09/2000,41.76
15/09/2000,41.68
18/09/2000,42.02
19/09/2000,42.19
20/09/2000,42.27
21/09/2000,42.62
22/09/2000,42.69
25/09/2000,42.50
26/09/2000,42.62
27/09/2000,42.10
28/09/2000,42.30
29/09/2000,42.21
02/10/2000,42.00
03/10/2000,42.33
04/10/2000,42.50
05/10/2000,42.57
06/10/2000,42.35
09/10/2000,42.50
10/10/2000,42.66
11/10/2000,43.02
12/10/2000,43.17
13/10/2000,43.46
16/10/2000,43.23
17/10/2000,43.23
18/10/2000,43.54
